Algorithm,Problem,n,Best_f(x),Avg_f(x),Avg_Runtime
ABC,Rastrigin,2,1.8699387747310323,8.049296910413604,1.1935779571533203
EvoArena,Rastrigin,2,0.0,0.001724119464104845,16.691398572921752
FFA,Rastrigin,2,0.0006749364395233,0.00606869418981026,12.35799981355667
PSO,Rastrigin,2,8.354561487067258e-11,2.2279188120185855,1.13389333486557
ABC,Rastrigin,5,30.562768182475413,43.4134379758535,1.187979531288147
EvoArena,Rastrigin,5,0.0,1.3400201993611929,25.253545105457306
FFA,Rastrigin,5,5.381030163866946,8.2800422117601,12.628430116176606
PSO,Rastrigin,5,22.13283018805114,31.735998333968638,1.1541475296020507
ABC,Rastrigin,10,57.51740507647882,108.1898839724519,1.1936561703681945
EvoArena,Rastrigin,10,15.626487732065344,31.14606442122743,25.225621426105498
FFA,Rastrigin,10,37.89064020258459,47.29318138074114,12.402213454246521
PSO,Rastrigin,10,74.12425561928796,91.89814311283592,1.1527446269989015
ABC,Rastrigin,30,397.9398023031061,432.0901572691699,1.232351589202881
EvoArena,Rastrigin,30,251.63382073258717,283.9363598192407,24.599635910987853
FFA,Rastrigin,30,290.91123448655054,313.1961288749978,12.69093564748764
PSO,Rastrigin,30,327.17253726878647,362.66642788650114,1.156278908252716
ABC,Rastrigin,50,676.1557515527477,758.3257428171191,1.258222758769989
EvoArena,Rastrigin,50,567.042738825327,588.616154871963,22.36101953983307
FFA,Rastrigin,50,571.2542282658446,617.4951368711542,13.419026088714599
PSO,Rastrigin,50,627.6523409328559,663.7121808360523,1.1751486539840699
ABC,Styblinski-Tang,2,-78.29602677275616,-69.1801378403069,1.2876384854316711
EvoArena,Styblinski-Tang,2,-78.33233140751982,-77.84130420592241,15.956071650981903
FFA,Styblinski-Tang,2,-78.33228884584389,-78.33156437401394,12.144118475914002
PSO,Styblinski-Tang,2,-78.33233140749067,-75.12070153738864,1.4234094738960266
ABC,Styblinski-Tang,5,-156.4298570090617,-136.0873301675291,1.2876924395561218
EvoArena,Styblinski-Tang,5,-195.7313272704351,-192.22208690665238,22.794039714336396
FFA,Styblinski-Tang,5,-194.21298357152395,-191.21169680662635,12.21534892320633
PSO,Styblinski-Tang,5,-180.8238985049921,-151.81915978008348,1.2869431734085084
ABC,Styblinski-Tang,10,-265.4246092807236,-216.0470486031676,1.2948078632354736
EvoArena,Styblinski-Tang,10,-359.7849501539918,-335.007744044865,20.249255990982057
FFA,Styblinski-Tang,10,-343.6881990578068,-327.9733328156737,12.108296573162079
PSO,Styblinski-Tang,10,-291.73261241587164,-257.7058467933403,1.414087677001953
ABC,Styblinski-Tang,30,-581.0172003823528,-463.72829816628445,1.2167643666267396
EvoArena,Styblinski-Tang,30,-777.8167771244582,-715.4223633126677,12.200217533111573
FFA,Styblinski-Tang,30,-744.639387666348,-708.9115527596784,12.584890508651734
PSO,Styblinski-Tang,30,-710.7921445403848,-659.081080121275,1.5108753800392152
ABC,Styblinski-Tang,50,-736.3525317625192,-660.8282777844311,1.1592101454734802
EvoArena,Styblinski-Tang,50,-1106.6506724363594,-1044.453377683824,10.87206963300705
FFA,Styblinski-Tang,50,-1054.8202498152714,-984.8267992518188,12.682031524181365
PSO,Styblinski-Tang,50,-1097.064088149786,-1045.7433069524536,1.4899396657943726
